TILEID,PROGRAM,SURVEY,LASTNIGHT,PETALID,H,H_TILE,N_GAL,N_STAR,N_QSO,N_GOOD_Z
22386,bright,main,20210921,9,0.9954404977422291,0.9989116017693221,308,125,2,435
24767,bright,main,20210921,0,0.9943923327619603,0.9987144319511717,342,93,1,436
24767,bright,main,20210921,1,0.9868421572752727,0.9987144319511717,134,61,0,195
24767,bright,main,20210921,2,0.9957190116693332,0.9987144319511717,324,103,5,432
24767,bright,main,20210921,3,0.9939226914870803,0.9987144319511717,282,114,5,401
24767,bright,main,20210921,4,0.9785045712481951,0.9987144319511717,141,67,2,210
24767,bright,main,20210921,5,0.994631124279375,0.9987144319511717,243,160,8,411
24767,bright,main,20210921,6,0.9957090457442703,0.9987144319511717,284,147,4,435
24767,bright,main,20210921,7,0.9823256443442554,0.9987144319511717,203,174,0,377
24767,bright,main,20210921,8,0.9884253317487854,0.9987144319511717,220,201,3,424
24767,bright,main,20210921,9,0.989139318140106,0.9987144319511717,293,129,3,425
26173,bright,main,20210921,0,0.9959424798892778,0.9993537135196655,389,50,4,443
26173,bright,main,20210921,1,0.960953835076143,0.9993537135196655,166,26,3,195
26173,bright,main,20210921,2,0.9939194001354286,0.9993537135196655,340,87,3,430
26173,bright,main,20210921,3,0.9890806817618693,0.9993537135196655,326,62,4,392
26173,bright,main,20210921,4,0.9890806817618693,0.9993537135196655,326,62,4,392
26173,bright,main,20210921,5,0.9908749564702913,0.9993537135196655,345,62,3,410
26173,bright,main,20210921,6,0.9965852900593388,0.9993537135196655,364,50,5,419
26173,bright,main,20210921,7,0.9939803803493691,0.9993537135196655,282,77,6,365
26173,bright,main,20210921,8,0.9950610121251304,0.9993537135196655,324,91,5,420
26173,bright,main,20210921,9,0.992556018562446,0.9993537135196655,340,77,7,424
24770,bright,main,20210921,0,0.9933139682827562,0.9988737585678454,338,96,4,438
24770,bright,main,20210921,1,0.9721602990563928,0.9988737585678454,142,54,2,198
24770,bright,main,20210921,2,0.9926142875398243,0.9988737585678454,319,106,4,429
24770,bright,main,20210921,3,0.9854621771099649,0.9988737585678454,313,81,4,398
24770,bright,main,20210921,4,0.9925920274706668,0.9988737585678454,127,78,2,207
24770,bright,main,20210921,5,0.9962844992570279,0.9988737585678454,272,139,1,412
24770,bright,main,20210921,6,0.9948873459025825,0.9988737585678454,260,169,2,431
24770,bright,main,20210921,7,0.9910216557187459,0.9988737585678454,207,156,3,366
24770,bright,main,20210921,8,0.9924440243844224,0.9988737585678454,266,148,7,421
24770,bright,main,20210921,9,0.995268280358451,0.9988737585678454,310,102,7,419
22379,bright,main,20210923,0,0.9942889957074814,0.9991058951925772,279,156,4,439
22379,bright,main,20210923,1,0.9687280772750446,0.9991058951925772,132,59,3,194
22379,bright,main,20210923,2,0.9884640961935278,0.9991058951925772,306,122,3,431
22379,bright,main,20210923,3,0.9924754346080247,0.9991058951925772,238,163,0,401
22379,bright,main,20210923,4,0.9863938694804387,0.9991058951925772,134,72,1,207
22379,bright,main,20210923,5,0.9911199270698775,0.9991058951925772,298,120,2,420
22379,bright,main,20210923,6,0.9921353888573283,0.9991058951925772,282,147,2,431
22379,bright,main,20210923,7,0.9964601692186582,0.9991058951925772,271,106,1,378
22379,bright,main,20210923,8,0.9957806642749117,0.9991058951925772,249,166,5,420
22379,bright,main,20210923,9,0.9937960929202,0.9991058951925772,229,196,4,429
25588,bright,main,20210923,0,0.9847360926101759,0.9990687349826041,166,103,7,276
25588,bright,main,20210923,1,0.9864958553109028,0.9990687349826041,112,73,3,188
25588,bright,main,20210923,2,0.9931544032270542,0.9990687349826041,301,123,5,429
25588,bright,main,20210923,3,0.9928782571554403,0.9990687349826041,243,153,5,401
25588,bright,main,20210923,4,0.9738440615676388,0.9990687349826041,122,87,2,211
25588,bright,main,20210923,5,0.9902622873591469,0.9990687349826041,172,235,2,409
25588,bright,main,20210923,6,0.9928063422442901,0.9990687349826041,192,227,0,419
25588,bright,main,20210923,7,0.9944802349588441,0.9990687349826041,199,180,1,380
25588,bright,main,20210923,8,0.9944233289491519,0.9990687349826041,306,109,4,419
25588,bright,main,20210923,9,0.992616266246181,0.9990687349826041,262,154,2,418
22096,bright,main,20210923,0,0.9902916674417072,0.9990504935772286,316,100,12,428
22096,bright,main,20210923,1,0.9806516308624172,0.9990504935772286,135,49,3,187
22096,bright,main,20210923,2,0.992386948654278,0.9990504935772286,330,83,4,417
22096,bright,main,20210923,3,0.9872865599781614,0.9990504935772286,308,70,2,380
22096,bright,main,20210923,4,0.9836850390138717,0.9990504935772286,154,46,2,202
22096,bright,main,20210923,5,0.9875874110831487,0.9990504935772286,283,106,6,395
22096,bright,main,20210923,6,0.9915599561141863,0.9990504935772286,333,65,8,406
22096,bright,main,20210923,7,0.9930384978071173,0.9990504935772286,299,58,8,365
22096,bright,main,20210923,8,0.9866100212139974,0.9990504935772286,342,64,4,410
22096,bright,main,20210923,9,0.9965569433079046,0.9990504935772286,304,99,9,412
20864,bright,main,20210923,0,0.9979554489111289,0.9992135708883071,373,54,5,432
20864,bright,main,20210923,1,0.982304964207482,0.9992135708883071,156,37,2,195
20864,bright,main,20210923,2,0.9952967215466342,0.9992135708883071,350,82,2,434
